33f7a78 | Abu Russel | Add files via upload
dd2a562 | gagradebnath | updated file arrangements
93887fe | Abu Russel | Update index.html
201af52 | gagradebnath | added dashboard page
7f5b025 | gagradebnath | Merge branch 'main' of https://github.com/aburussel87/Fintech-AI
666f85b | gagradebnath | updated dashboard
20d5d43 | gagradebnath | updated dashboard
bfc432a | gagradebnath | redirected to dashboard on successful login
d01f47f | Abu Russel | Add files via upload
9af1acc | Abu Russel | Add files via upload
1ac827d | Abu Russel | Add files via upload
f322565 | Abu Russel | Update dashboard.html
cb6bc52 | Abu Russel | dashboard to login and sign_in
52e80b8 | Abu Russel | updated css file path
eb932da | Abu Russel | Update chat.html
e3737a6 | Abu Russel | Linked Chatbot to dashboard logo
e1474d6 | nihal101010 | Update chat.css
710e25a | gagradebnath | backend structure
94a988d | gagradebnath | Merge branch 'main' of https://github.com/aburussel87/Fintech-AI
e531877 | Abu Russel | Favicon addition
6cfc3e8 | Abu Russel | responsive registration
cce3eb9 | Abu Russel | Add files via upload
d84cdd6 | Abu Russel | Rename IMG_1476.png to logo.png
113c827 | Abu Russel | Update index.html
cf1f896 | Abu Russel | Update registration.html
2ac0b08 | Abu Russel | Update login.css
4a74626 | Abu Russel | Update dashboard.html
c61102d | Abu Russel | Update chat.html
c7bf17e | Abu Russel | Update chat.css
7a177b3 | Abu Russel | profile added
c7fb6ea | Abu Russel | Merge branch 'main' of https://github.com/aburussel87/Fintech-AI
555c9ba | Abu Russel | nothing important
8f48ae6 | Abu Russel | css updated
cfec7cc | Abu Russel | nothing important
797662c | provat71 | updated registration and payment
d4f6496 | provat71 | test
a7adb7b | provat71 | backend demo
6ad67fe | Abu Russel | reverted back to prev reg_css
1c279d1 | Abu Russel | Merge branch 'main' of https://github.com/aburussel87/Fintech-AI
d6e56f4 | Abu Russel | Update dashboard.html
3077f94 | Abu Russel |  backend
048b398 | Abu Russel | gui
a13e41f | Abu Russel | ....
91b32c6 | Abu Russel | Directory of all backend files
2c31510 | Abu Russel | auto generated invoice(pdf) + json
7f3d0dc | gagradebnath | added chate bot but couldnt connect it to the server
ca47c79 | gagradebnath | Merge branch 'main' of https://github.com/aburussel87/Fintech-AI
4cc30ff | gagradebnath | added code for testing
10c67e5 | Abu Russel | chat to backend
4f8c3fd | gagradebnath | updated chat.css
